ability 能力【W】
able 能够的【W】
abnormal 反常的
about 关于；大约
above 在…上方
abroad 在国外【R】
absent 缺席的
absolute 绝对的
absorb 吸收【R】
abstract 抽象的
abundant 大量的
abuse 滥用
accelerate 加速
accept 接受【W】
access 通道，机会 v. 获取【R】
accident 事故【R】
accompany 陪伴
accomplish 完成【W】
according 按照【W】
account 账户；描述【R】
accurate 准确的
accuse 指责
achieve 实现，达成【W】
acquire 获得【R】
across 穿过
act 行动 n.行为【W】
action 行动【W】
active 积极的【W】
activity 活动【W】
actual 实际的【R】
adapt 适应【R】
add 添加【W】
adequate 足够的
adjust 调整【R】
admit 承认【W】
adopt 采纳；收养【R】
advance 前进，进步【W】
advantage 优势【W】
adventure 冒险
advertise 做广告
advice 建议【W】
advise 建议【W】
affect 影响【W】
afford 负担得起【W】
after 在…之后
agency 机构
agent 代理人
agree 同意【W】
agreement 协议【W】
agriculture 农业
aid 帮助【R】
aim 目标；旨在【W】
alarm 警报
alcohol 酒精
alert 警惕的
allow 允许【W】
alone 独自的
along 沿着
alter 改变
alternative 可供选择的【R】
although 虽然【W】
amount 数量【R】
analyse/analyze 分析【W】
analysis 分析【W】
ancient 古代的【R】
announce 宣布【R】
annoy 使恼怒
annual 年度的【R】
answer 回答【W】
anxiety 焦虑
anxious 焦虑的【W】
anyhow 无论如何
apart 分开
apologize 道歉【W】
appeal 呼吁；吸引【R】
appear 出现，似乎【W】
application 申请；应用【W】
apply 申请；应用【W】
appoint 任命
appreciate 感激；欣赏【W】
approach 接近 n.方法【W】
approve 赞成，批准【W】
approximate 大约的
area 区域【W】
argue 争论【W】
argument 论点【W】
arise 出现【R】
arrange 安排【W】
arrest 逮捕
arrive 到达【W】
artificial 人造的【R】
ashamed 羞愧的
aspect 方面【W】
assess 评估【R】
assign 分配
assist 协助【W】
associate 联系【R】
assume 假定【R】
assure 确保【W】
atmosphere 大气，氛围【R】
attach 依附，附上【R】
attack 攻击
attempt 尝试【W】
attend 出席；照料【W】
attention 注意力【W】
attitude 态度【W】
attract 吸引【W】
audience 观众【R】
author 作者【R】
available 可获得的【R】
average 平均的【W】
avoid 避免【W】
awake 醒着的
award 奖项 v.授予【R】
aware 意识到的【W】
balance 平衡【W】
ban 禁止
barrier 障碍【R】
base 基础 v.以…为基础【W】
basic 基本的【W】
bargain 便宜货 v.讨价还价
behave 表现【W】
behavior 行为【W】
belief 信念
believe 相信【W】
benefit 益处 v.有益于【W】
besides 除…之外
betray 背叛
beyond 超过【R】
birth 出生
blame 责备
blank 空白的
blend 混合
borrow 借
bother 打扰【R】
boundary 边界
brain 大脑
brand 品牌
breath 呼吸
breathe 呼吸
brief 简短的【W】
bright 明亮的；聪明的
broad 宽阔的
burden 负担【R】
burst 爆发
business 生意，事务【W】
calculate 计算
campaign 活动【R】
cancel 取消【W】
candidate 候选人
capable 有能力的【W】
capital 首都；资本
capture 捕获
career 职业【W】
careful 仔细的
casual 随意的
cause 原因 v.导致【W】
cease 停止
celebrate 庆祝【W】
challenge 挑战【W】
chance 机会【W】
change 改变【W】
character 性格；字符【R】
characteristic 特征【R】
charge 收费；指控 n.费用【R】
chart 图表
cheat 欺骗
check 检查【W】
cheer 欢呼
chief 主要的【R】
circumstance 情况【R】
citizen 公民
civil 公民的
claim 声称【R】
clarify 澄清
classical 古典的
climate 气候【R】
clue 线索【R】
coach 教练
collapse 倒塌
colleague 同事
collect 收集【W】
combine 结合【W】
command 命令
comment 评论【W】
commercial 商业的【R】
commit 犯（错）；承诺【R】
common 普通的【W】
communicate 交流【W】
community 社区【W】
compare 比较【W】
compete 竞争【W】
competent 胜任的
competition 竞争【W】
complain 抱怨【W】
complete 完整的 v.完成【W】
complex 复杂的【R】
complicated 复杂的
component 成分
compose 组成；写作
comprehension 理解【R】
comprehensive 综合的
compromise 妥协【R】
concentrate 集中【W】
concept 概念【W】
concern 涉及 n.担忧【W】
conclude 得出结论【W】
conclusion 结论【W】
condition 条件【W】
conduct 实施；引导【R】
conference 会议【W】
confident 自信的【W】
confirm 确认【R】
conflict 冲突【R】
confuse 使困惑【R】
congratulate 祝贺【W】
connect 连接【W】
conscience 良心
consent 同意
consequence 后果【W】
consider 考虑【W】
considerable 相当多的
considerate 体贴的
consist 由…组成【R】
constant 持续的【R】
construct 建造
consult 咨询【W】
consume 消耗【R】
contain 包含【R】
contemporary 当代的
content 内容 adj.满意的【R】
contest 竞赛
context 上下文【R】
continue 继续【W】
contract 合同
contrary 相反的【R】
contribute 贡献，促成【W】
control 控制【W】
convenience 方便【W】
convenient 方便的【W】
converse 交谈
convince 说服【W】
cope 处理【R】
corporation 公司
correct 正确的 v.纠正【W】
cost 成本 v.花费【W】
council 委员会
count 数，认为【R】
couple 一对
courage 勇气
create 创造【W】
creature 生物
credit 信用；学分【R】
crisis 危机【R】
critic 批评家
criticism 批评
criticize 批评【W】
crop 庄稼
cross 穿过
crucial 关键的【R】
crush 压碎
culture 文化【W】
cure 治愈 n.疗法【R】
current 当前的【R】
custom 习俗
customer 顾客
damage 损害【R】
dare 敢于
data 数据【R】
deal 处理；交易【W】
debate 辩论【W】
debt 债务
decade 十年【R】
decide 决定【W】
decision 决定【W】
declare 宣布【R】
decrease 减少【W】
deed 行为
defend 保卫，辩护【R】
define 定义【W】
degree 程度；学位【W】
delay 推迟【R】
delicate 精细的
deliver 递送；发表【R】
demand 要求【W】
democracy 民主
demonstrate 证明，展示【R】
deny 否认【W】
depend 依靠【W】
deposit 存放；存款
depth 深度
describe 描述【W】
desert 沙漠 v.抛弃
deserve 值得【R】
design 设计【W】
desire 渴望【W】
despite 尽管【W】
destination 目的地
destroy 破坏【R】
detail 细节【R】
detect 发现
determine 决定【W】
develop 发展【W】
development 发展【W】
device 设备【R】
devote 致力于【W】
diagram 图表
dialect 方言
differ 不同【W】
difference 差别【W】
difficult 困难的【W】
difficulty 困难【W】
direct 直接的 v.指导【W】
direction 方向【W】
director 主管，导演
disadvantage 缺点【W】
disagree 不同意【W】
disappear 消失【R】
disappoint 使失望【W】
discard 丢弃
discover 发现【W】
discussion 讨论【W】
disease 疾病【R】
dismiss 解雇，解散
display 展示【R】
distinction 区别
distinguish 区分【R】
distress 痛苦
distribute 分配
district 区域
divide 划分【W】
doubt 怀疑【W】
draft 草稿
drag 拖拽
dramatic 戏剧性的【R】
draw 画；吸引
dream 梦想【W】
drop 落下，下降【R】
drown 淹没
due 由于；到期【W】
durable 耐用的
duty 责任【W】
earn 赚取【W】
ease 轻松 v.减轻
economic 经济的【R】
economical 节约的
economy 经济【R】
educate 教育【W】
education 教育【W】
effect 影响，效果【W】
effective 有效的【W】
efficiency 效率【R】
effort 努力【W】
elect 选举
electric 电的
electronic 电子的【R】
element 元素【R】
eliminate 消除
emerge 出现【R】
emotion 情绪【R】
emphasize 强调【W】
employ 雇佣；使用【R】
employee 雇员
employer 雇主
enable 使能够【W】
encourage 鼓励【W】
end 结束 n.末端【W】
endure 忍受
enforce 实施
engage 参与；雇佣【R】
engineer 工程师
enhance 提高【R】
enjoy 享受【W】
enlarge 扩大
enter 进入【W】
entertain 娱乐
entire 全部的【R】
environment 环境【W】
equal 平等的【W】
equip 装备
equipment 设备【R】
equivalent 等价的
error 错误【W】
escape 逃跑【R】
essential 必要的【W】
establish 建立【W】
estimate 估计【R】
evaluate 评估【R】
event 事件【W】
eventually 最终【W】
evidence 证据【R】
evident 明显的
evolve 进化
exact 准确的
examine 检查，考试【R】
example 例子【W】
exceed 超过【R】
excellent 优秀的【W】
except 除…之外
exchange 交换【W】
excite 使兴奋
excuse 借口
execute 执行
exhibit 展示
exist 存在【W】
existence 存在【R】
expand 扩张【R】
expect 期待【W】
expense 花费
expensive 昂贵的
explain 解释【W】
explode 爆炸
explore 探索【R】
export 出口
expose 暴露【R】
express 表达【W】
extend 延伸【R】
extra 额外的
factor 因素【W】
fail 失败【W】
failure 失败【W】
fair 公平的【W】
faith 信念
fall 落下 n.秋天
fame 名声
familiar 熟悉的【W】
fate 命运
favour/favor 喜爱，恩惠【W】
fear 害怕
feature 特征【R】
federal 联邦的
feed 喂养
feedback 反馈【R】
fertile 肥沃的
figure 数字，人物 v.认为【R】
file 文件
finance 财政，资金【R】
find 找到【W】
firm 坚定的
fix 修理，固定【W】
flexible 灵活的【R】
focus 聚焦 n.焦点【W】
fold 折叠
follow 跟随【W】
force 力量 v.强迫【W】
forecast 预测
forget 忘记【W】
forgive 原谅
form 形式 v.形成【W】
formal 正式的【W】
former 先前的【R】
formula 公式
fortunate 幸运的【W】
foundation 基础
fraction 小部分
frequent 频繁的【R】
fresh 新鲜的
function 功能 v.起作用【R】
fund 资金
further 进一步的【W】
future 未来【W】
gain 获得【W】
gap 缺口，差距【R】
gather 收集
general 总的【W】
generate 产生【R】
generous 慷慨的
genius 天才
gentle 温和的
glance 一瞥
goal 目标【W】
goods 商品
govern 统治，管理
government 政府【W】
gradual 逐渐的【R】
graduate 毕业 n.毕业生【W】
grant 授予，同意【R】
grasp 抓住，理解
grateful 感激的【W】
great 伟大的
greet 问候
gross 总的
grow 生长【W】
guarantee 保证【W】
guide 指导 n.向导【W】
guilty 内疚的，有罪的
handle 处理【W】
harm 伤害【W】
harvest 收获
haste 匆忙
hazard 危险
hesitate 犹豫【R】
highlight 强调【R】
hint 暗示
hire 雇佣
hold 握住；持有【W】
honour/honor 荣誉 v.尊重【W】
hope 希望【W】
horizon 地平线
host 主人；主持人
household 家庭
humble 谦卑的
humour/humor 幽默
hurt 伤害
ideal 理想的【W】
identify 识别【R】
ignore 忽视【W】
illustrate 举例说明【R】
image 图像
imagine 想象【W】
immediate 立刻的【W】
impact 影响【W】
